lat,lgt,tipo,nome
-12.2414981,-38.9469813,taxi,Ponto de Táxi do Shopping
-12.2548963,-38.9654866,fast_food,Subway
-12.2549469,-38.9544196,fast_food,Empada Carioca
-12.2545222,-38.9651435,bank,Bradesco
-12.2548840,-38.9561663,restaurant,Alla Spina
-12.2548982,-38.9565210,restaurant,Spacca Napoli
-12.2498193,-38.9622510,courthouse,Fórum Filinto Bastos
-12.2531221,-38.9625187,bicycle_parking,Todo Dia
-12.2457894,-38.9481465,pharmacy,Farmácia Brito
-12.2470565,-38.9485679,school,Escola José de Anchieta
-12.2543649,-38.9731768,fuel,Posto Centro
-12.2486049,-38.9483888,restaurant,Pasta Fast
-12.2518999,-38.9531356,bar,Seu Zé Lounge Bar
-12.2475435,-38.9486790,bar,Botekim
-12.2480770,-38.9482929,fast_food,Acarajé
-12.2537735,-38.9572243,restaurant,Amarelo Gema
-12.2510484,-38.9619382,veterinary,O Bicho
-12.2510853,-38.9621940,restaurant,Predileto
-12.2527423,-38.9547868,car_rental,Localiza
-12.2449845,-38.9479530,pharmacy,Farmácia Avante
-12.2536340,-38.9562806,restaurant,Flor Maracujá
-12.2441943,-38.9473220,restaurant,Stillo Pizza
-12.2487616,-38.9483759,pharmacy,Ultrafarma
-12.2394280,-38.9471295,nightclub,The House
-12.2397274,-38.9468715,restaurant,Creperia Mariposa
-12.2536601,-38.9468688,pub,Antiquário Pub
-12.2541288,-38.9477939,bar,Jeca Total
-12.2518661,-38.9562343,restaurant,Stop Nil
-12.2538372,-38.9561777,restaurant,Wasabi
-12.2520389,-38.9564275,restaurant,Red Hashi
-12.2539738,-38.9561723,cafe,Unique Cafe Lounge
-12.2408465,-38.9638273,restaurant,Ponto do Macarrão
-12.2381151,-38.9630334,courthouse,TRE-BA / Fórum Eleitoral
-12.2516774,-38.9614831,school,Escola Castro Alves
-12.2549768,-38.9572515,restaurant,Piatto
-12.2391503,-38.9470540,restaurant,Cravo e Panela
-12.2525652,-38.9542488,restaurant,Aprisco
-12.2539423,-38.9543587,parking,Estacionamento MaterDei EMEC
-12.2526574,-38.9581322,veterinary,Cat & Dog
-12.2533068,-38.9548273,doctors,Clínica Maria Quiteria
-12.2541125,-38.9548605,clinic,Doenças do Coração
-12.2522153,-38.9543114,pharmacy,Drogasil
-12.2526615,-38.9579228,clinic,FisioSaúde
-12.2535693,-38.9569689,clinic,Hospital Ortopédico
-12.2537963,-38.9570726,dentist,Neocenter
-12.2522699,-38.9547360,dentist,Odonto Club
-12.2523570,-38.9581086,school,Opera Idiomas
-12.2518540,-38.9550677,restaurant,Oxente Menina
-12.2519735,-38.9578859,restaurant,Paraíso da Carne do Sol
-12.2518170,-38.9579778,restaurant,Espaço Vegetariano
-12.2513653,-38.9547065,fast_food,Sol de Verão Sorveteria e Pizzaria
-12.2515645,-38.9547115,restaurant,Bate Papo
-12.2409913,-38.9463290,fuel,Menor Preço
-12.2378111,-38.9463107,bar,Top Boliche Bar
-12.2506173,-38.9591984,fuel,Shell
-12.2543374,-38.9554224,clinic,Comunicare
-12.2412546,-38.9466188,pharmacy,Pague Menos
-12.2549208,-38.9469179,school,Colégio Gênesis
-12.2548403,-38.9669631,pharmacy,Farmácia Silva
-12.2548106,-38.9671947,dentist,Life Odonto
-12.2549782,-38.9639050,fuel,Posto Modelo
-12.2394246,-38.9460182,bank,Bradesco
-12.2514247,-38.9529559,police,Polícia Federal
-12.2488828,-38.9539718,fast_food,Radiola Lanchonete Cultural
-12.2543901,-38.9572454,clinic,Gastros Bahia
-12.2520397,-38.9565678,studio,Rádio Jovem Pan
-12.2535299,-38.9592623,dentist,Clínica Orthos
-12.2456255,-38.9492789,fast_food,Tonha do Salgado
-12.2469368,-38.9611103,courthouse,Juizados Especiais da Comarca de Feira de Santana
-12.2369100,-38.9518131,school,Juiz Jorge
-12.2395183,-38.9460618,place_of_worship,plenitude
-12.2415619,-38.9477361,cinema,Orient Cinemas
-12.2414627,-38.9488232,bank,Banco do Brasil
-12.2413686,-38.9479257,fast_food,Bob's
-12.2414754,-38.9481182,fast_food,McDonald's
-12.2412059,-38.9478997,fast_food,Giraffas
-12.2414728,-38.9489845,bank,Caixa Econômica Federal
-12.2413254,-38.9477696,cafe,Casa do Pão de Queijo
-12.2414423,-38.9486437,bureau_de_change,Confidence Câmbio
-12.2416101,-38.9479257,fast_food,Spoleto
-12.2412796,-38.9480141,restaurant,Yan Ping
-12.2412553,-38.9481198,cafe,Fino Café
-12.2414910,-38.9482048,ice_cream,Firenze Gelateria Italiana
-12.2401685,-38.9684966,school,Centro de Ensino e Cultura Doutor Eduardo Froes da Motta
-12.2391331,-38.9731987,school,Colegio Municipal Coriolano Carvalho
-12.2416560,-38.9481800,ice_cream,Gelato Borelli
-12.2414410,-38.9476076,pharmacy,Drogaria São Paulo
-12.2411133,-38.9476909,cafe,Havanna
-12.2491012,-38.9648551,place_of_worship,Igreja Batista Avivamento Mundial
-12.2415996,-38.9477912,fast_food,Burger King
-12.2414444,-38.9477010,restaurant,Outback Steakhouse
-12.2415427,-38.9480002,fast_food,Subway
-12.2422083,-38.9498576,pharmacy,Famárcia Brito
-12.2534987,-38.9728656,pharmacy,Drogasil
-12.2438257,-38.9641748,university,Anhanguera
-12.2536749,-38.9652468,pharmacy,Pague Menos
-12.2516952,-38.9652008,pharmacy,Pague Menos
-12.2532371,-38.9654419,pharmacy,Farmácia Brito
