lat,lon,nome,rua,numero
-12.9947462,-38.4645914,BTQ 161,,
-13.0074269,-38.5283510,Boteco do Gavazza,,
-12.9913793,-38.4606574,Boteco do Caranguejo,,
-12.9730808,-38.4397534,Muá,Rua das patativas,
-13.0094004,-38.5307895,Camarote,,
-13.0112063,-38.4920380,Meia 68,,
-12.9933611,-38.4778089,Bom Demais,,
-12.8327001,-38.2646028,Zueira,,
-12.8316593,-38.2678644,Pé do Balcão,Avenida Tiradentes,
-12.8816731,-38.3062580,Porto Brasil Grelhados,,
-12.9821332,-38.5167710,O Líder,,
-12.8851510,-38.3086264,Na Carona,,
-12.9385027,-38.3282840,Cabana Tio Zé,,
-12.9867275,-38.5212205,Quintal,,
-12.9152834,-38.4446396,Bar abafadinho do Nal,,
-12.9627960,-38.5036328,Bar Bela Vista (Seu Domingos),Escadaria da Chácara Santo Antônio,portão 2-f
-13.0053952,-38.5265993,Guapo Mexican Bar,,
-13.0053179,-38.5267050,Oslo Gastrobar,,
-12.9838740,-38.5090735,Mocambinho,"Largo Dois de Julho, Dois de Julho",
-13.0049168,-38.5309026,Bento Boteco,,
-13.0048442,-38.5298600,Bar da Ana,,
-13.0083834,-38.5256662,Fábrica de Sucos,,
-13.0083910,-38.5257522,Sucos 24 horas,,
-13.0095034,-38.5305500,Habeas Copos,,
-12.9924082,-38.4455470,Bar do Jonas,Rua Professor Gérson Pinto,
-12.9942639,-38.4491967,Point do Coco,Rua Adelaide Fernandes da Costa,
-13.0115719,-38.4913576,Amnésia Pub,Rua João Gomes,63
-13.0057443,-38.5328109,Oxe Drinks,,
-12.7918402,-38.4027044,Bar de Roque,,
-13.0097177,-38.5308610,Boante ON,,
-13.0088194,-38.5299646,Bar e Prosa,,
-13.0030716,-38.4808605,Cesar Bar & Mine Mercado,,
-13.0036815,-38.5326732,Casa da Felicidade Barra,Avenida 7 de Setembro,3713
-12.9984527,-38.5252770,espitinho bar,,
-12.9990770,-38.4600529,Sr. Haxi,,
-13.0133032,-38.4881905,Cabral 500,Largo da Mariquita,10
-12.9337288,-38.4298433,Barraca do Geraldo de Oxossi,Rua Hugo Meijon,
-13.0070708,-38.5253940,Beach Stop,,
-13.0112941,-38.4910381,Jubiabar,Rua Conselheiro Pedro Luiz,279
-13.0114668,-38.4904665,thé green house,Rua Conselheiro Pedro Luiz,369
-12.8485916,-38.4678062,Bar Flor-do-Bairro,,
-13.0112518,-38.4924524,Point do japa,Rua da Paciência,116
-13.0139417,-38.4878267,Fronteira,,
-12.9730034,-38.4355547,Boteco do Caranguejo,,
-13.0107681,-38.4909418,América Pub e Petiscaria,,
-13.0107307,-38.4908313,GIN,,
